,request_id,device_id,primary_port,vlan_id,_merge
6,3,4,1,1,left_only
13,7,3,1,2,left_only
16,9,4,1,2,left_only
17,10,4,1,3,left_only
18,11,3,1,4,left_only
19,12,4,1,4,left_only
20,13,0,0,4,left_only
21,13,0,1,4,left_only
22,14,1,0,4,left_only
23,14,1,1,4,left_only
24,15,2,0,4,left_only
25,15,2,1,4,left_only
26,16,3,1,5,left_only
27,17,4,0,4,left_only
28,17,4,1,4,left_only
29,18,4,1,5,left_only
30,19,3,1,6,left_only
31,20,1,0,5,left_only
32,20,1,1,5,left_only
33,21,4,0,5,left_only
34,21,4,1,5,left_only
35,22,0,0,6,left_only
36,22,0,1,6,left_only
37,23,4,1,6,left_only
38,24,4,1,7,left_only
39,25,1,0,6,left_only
40,25,1,1,6,left_only
41,26,2,0,6,left_only
42,26,2,1,6,left_only
43,27,2,0,7,left_only
44,27,2,1,7,left_only
45,28,4,0,7,left_only
46,28,4,1,7,left_only
47,29,4,1,9,left_only
48,30,0,0,8,left_only
49,30,0,1,8,left_only
50,31,3,1,10,left_only
51,32,4,1,10,left_only
52,33,1,0,8,left_only
53,33,1,1,8,left_only
54,34,2,0,8,left_only
55,34,2,1,8,left_only
56,35,4,1,14,left_only
57,36,0,0,9,left_only
58,36,0,1,9,left_only
59,37,3,1,15,left_only
60,38,4,1,16,left_only
61,39,3,1,18,left_only
62,40,4,1,18,left_only
63,41,4,0,9,left_only
64,41,4,1,9,left_only
65,42,0,0,10,left_only
66,42,0,1,10,left_only
67,43,2,0,10,left_only
68,43,2,1,10,left_only
69,44,0,0,11,left_only
70,44,0,1,11,left_only
71,45,2,0,11,left_only
72,45,2,1,11,left_only
73,46,3,1,19,left_only
74,47,4,1,19,left_only
75,48,2,0,12,left_only
76,48,2,1,12,left_only
77,49,4,1,20,left_only
78,50,3,1,21,left_only
79,51,4,1,21,left_only
80,52,0,0,13,left_only
81,52,0,1,13,left_only
82,53,1,0,13,left_only
83,53,1,1,13,left_only
84,54,4,1,22,left_only
85,55,0,0,14,left_only
