request_id,device_id,primary_port,vlan_id
0,2,0,1
0,2,1,1
1,0,0,2
1,0,1,2
2,2,0,2
2,2,1,2
3,4,1,1
4,4,0,2
4,4,1,2
5,0,0,3
5,0,1,3
6,1,0,3
6,1,1,3
7,3,1,2
8,4,0,3
8,4,1,3
9,4,1,2
10,4,1,3
11,3,1,4
12,4,1,4
13,0,0,4
13,0,1,4
14,1,0,4
14,1,1,4
15,2,0,4
15,2,1,4
16,3,1,5
17,4,0,4
17,4,1,4
18,4,1,5
19,3,1,6
20,1,0,5
20,1,1,5
21,4,0,5
21,4,1,5
22,0,0,6
22,0,1,6
23,4,1,6
24,4,1,7
25,1,0,6
25,1,1,6
26,2,0,6
26,2,1,6
27,2,0,7
27,2,1,7
28,4,0,7
28,4,1,7
29,4,1,9
30,0,0,8
30,0,1,8
31,3,1,10
32,4,1,10
33,1,0,8
33,1,1,8
34,2,0,8
34,2,1,8
35,4,1,14
36,0,0,9
36,0,1,9
37,3,1,15
38,4,1,16
39,3,1,18
40,4,1,18
41,4,0,9
41,4,1,9
42,0,0,10
42,0,1,10
43,2,0,10
43,2,1,10
44,0,0,11
44,0,1,11
45,2,0,11
45,2,1,11
46,3,1,19
47,4,1,19
48,2,0,12
48,2,1,12
49,4,1,20
50,3,1,21
51,4,1,21
52,0,0,13
52,0,1,13
53,1,0,13
53,1,1,13
54,4,1,22
55,0,0,14
55,0,1,14
56,1,0,14
56,1,1,14
57,3,1,23
58,4,1,23
59,4,1,24
60,4,0,14
60,4,1,14
61,0,0,15
61,0,1,15
62,0,0,16
62,0,1,16
63,2,0,16
63,2,1,16
64,3,1,25
65,4,1,25
66,3,1,26
67,1,0,17
67,1,1,17
68,1,0,19
68,1,1,19
69,4,1,27
70,2,0,19
70,2,1,19
71,0,0,20
71,0,1,20
72,4,1,28
73,3,1,29
74,4,1,29
75,3,1,30
76,4,1,31
77,2,0,20
77,2,1,20
78,4,0,20
78,4,1,20
79,4,1,32
80,4,0,21
80,4,1,21
81,4,1,33
82,4,1,34
83,0,0,22
83,0,1,22
84,2,0,22
84,2,1,22
85,1,0,23
85,1,1,23
86,4,1,35
87,2,0,23
87,2,1,23
88,0,0,24
88,0,1,24
89,1,0,24
89,1,1,24
90,1,0,25
90,1,1,25
91,4,0,25
91,4,1,25
92,3,1,37
93,2,0,26
93,2,1,26
94,4,1,38
95,4,1,39
96,1,0,27
96,1,1,27
97,4,0,27
97,4,1,27
98,3,1,40
