request_id,device_id,primary_port,vlan_id
0,2,0,1
0,2,1,1
1,0,0,2
1,0,1,2
2,2,0,2
2,2,1,2
3,1,1,1
4,4,0,2
4,4,1,2
5,0,0,3
5,0,1,3
6,1,0,3
6,1,1,3
7,3,1,1
8,4,0,3
8,4,1,3
9,4,1,1
10,3,1,2
11,3,1,3
12,0,1,4
13,1,0,4
13,1,1,4
14,2,0,4
14,2,1,4
15,4,0,4
15,4,1,4
16,3,1,4
17,1,0,5
17,1,1,5
18,0,1,5
19,3,1,5
20,4,0,5
20,4,1,5
21,0,0,6
21,0,1,6
22,1,0,6
22,1,1,6
23,2,1,6
24,3,1,6
25,2,0,7
25,2,1,7
26,4,0,7
26,4,1,7
27,0,0,8
27,0,1,8
28,1,0,8
28,1,1,8
29,4,1,6
30,2,0,8
30,2,1,8
31,1,1,7
32,3,1,7
33,0,0,9
33,0,1,9
34,4,0,9
34,4,1,9
35,3,1,8
36,0,0,10
36,0,1,10
37,3,1,9
38,2,1,10
39,3,1,10
40,4,1,10
41,0,0,11
41,0,1,11
42,2,0,11
42,2,1,11
43,2,0,12
43,2,1,12
44,0,0,13
44,0,1,13
45,1,0,13
45,1,1,13
46,3,1,11
47,1,1,12
48,0,0,14
48,0,1,14
49,3,1,12
50,1,1,14
51,3,1,14
52,4,0,14
52,4,1,14
53,0,0,15
53,0,1,15
54,3,1,15
55,0,0,16
55,0,1,16
56,2,0,16
56,2,1,16
57,3,1,16
58,4,1,16
59,1,1,17
60,1,0,19
60,1,1,19
61,2,0,19
61,2,1,19
62,0,0,20
62,0,1,20
63,2,0,20
63,2,1,20
64,3,1,17
65,0,1,18
66,3,1,18
67,4,0,20
67,4,1,20
68,4,0,21
68,4,1,21
69,4,1,18
70,0,0,22
70,0,1,22
71,2,0,22
71,2,1,22
72,3,1,19
73,4,1,19
74,1,1,20
75,1,1,21
76,3,1,21
77,1,0,23
77,1,1,23
78,2,0,23
78,2,1,23
79,4,1,22
80,0,0,24
80,0,1,24
81,0,1,23
82,3,1,23
83,1,0,24
83,1,1,24
84,1,0,25
84,1,1,25
85,4,0,25
85,4,1,25
86,4,1,23
87,2,0,26
87,2,1,26
88,1,0,27
88,1,1,27
89,4,0,27
89,4,1,27
90,0,0,28
90,0,1,28
91,4,0,28
91,4,1,28
92,2,1,24
93,1,0,29
93,1,1,29
94,3,1,24
95,4,1,24
96,4,0,29
96,4,1,29
97,0,0,30
97,0,1,30
98,3,1,25
